L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(-1, 0), (-1, 1), (1, -4), (0, -1), (1, -3), (1, -2)]",s740,"[(-1, 0), (-1, 1), (0, -1)]","(53, -72)","[(2, -3), (-3, 4)]",1005
"[(-4, -1), (-3, -2), (-2, -1), (-1, -2), (-1, -3), (-1, -1), (-3, -1)]",s741,[],"(11, -15)","[(-2, 1), (-5, 1), (2, -3), (-3, 1), (-4, 1), (-4, 3), (1, -4), (1, -3), (-3, 4), (1, -2), (-3, 2)]",1006
"[(1, 0), (2, 1)]",s742,"[(1, 0)]","(15, 47)",[],1007
"[(4, -3), (-1, 0), (-3, -1), (2, -1), (3, -2), (-3, -2), (-2, -1), (1, -1), (-4, -1)]",s743,"[(-1, 0), (1, -1)]","(67, -14)","[(3, -1), (4, -1)]",1008
"[(0, -1), (-1, 0), (-1, -2)]",s744,"[(0, -1), (-1, 0)]","(43, -18)",[],1009
"[(1, 0)]",s745,"[(1, 0)]","(3, 2)","[(5, -2), (5, -1), (2, -3), (3, 1), (-1, -2), (3, -1), (6, -1), (2, 1), (3, -2), (-2, -3), (-1, -1), (5, 1), (1, -3), (4, 1), (4, -1), (-1, -3)]",1010
[],s746,[],"(3, -5)","[(-2, 1), (-5, 1), (-4, -1), (-3, 1), (-3, -2), (-1, -2), (-1, -3), (-2, 3), (-4, 3), (-4, 1), (-2, -3), (-5, -1), (-2, -1), (1, -3), (-5, 2), (1, -2), (-3, -1), (-3, 2)]",1011
"[(-1, 1), (-1, 0), (-1, -3), (0, -1)]",s747,"[(-1, 1), (-1, 0), (0, -1)]","(31, -68)","[(-1, 2), (1, -3)]",1012
"[(0, -1), (-1, 0), (-2, -1)]",s748,"[(0, -1), (-1, 0)]","(57, -23)",[],1013
"[(3, -2), (2, -3), (-1, -4), (-3, -2), (-1, -1), (-1, -3), (-2, -3), (-2, -1), (-4, -3), (1, -3), (1, 0), (4, -1)]",s749,"[(-1, -1), (1, 0)]","(5, 1)","[(-4, -1), (-3, -1)]",1014
"[(5, -1), (3, -2), (2, -3), (1, -1), (2, -1), (3, -1), (-2, -3), (-1, -3), (1, -2), (-1, -2), (1, -3), (4, -1), (0, -1)]",s750,"[(0, -1)]","(4, 3)","[(3, 2), (5, 1), (5, 2)]",1015
"[(5, -1), (2, -3), (-5, -2), (-4, -1), (-3, -1), (-1, -2), (2, -1), (-2, -1), (3, -1), (1, -1), (-3, -2), (-1, -3), (3, -2), (-5, -1), (-1, -1), (1, -3), (1, 0), (1, -2), (4, -1), (-2, -3)]",s751,"[(1, 0)]","(8, 1)","[(-6, -1)]",1016
"[(0, -1), (-2, 1), (-1, 0)]",s752,"[(0, -1), (-1, 0)]","(25, -17)",[],1017
"[(5, -1), (3, -2), (2, -3), (-4, -1), (1, -3), (-3, -2), (2, -1), (-2, -1), (3, -1), (-3, -1), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (0, -1), (1, -2), (4, -1)]",s753,"[(0, -1)]","(25, -2)",[],1018
"[(0, -1), (1, 0)]",s754,"[(0, -1), (1, 0)]","(68, 37)",[],1019
"[(4, -3), (5, -1), (2, -1), (2, -3), (3, -1), (4, -1), (1, -4), (1, -3), (1, 0), (1, -2), (3, -2)]",s755,"[(1, 0)]","(7, 6)","[(3, 2), (4, 1), (3, 1), (-1, -3), (-2, -3), (-1, -2), (2, 1)]",1020
"[(-1, 0), (2, -1), (3, -2), (0, -1)]",s756,"[(-1, 0), (0, -1)]","(63, -16)","[(3, -1), (-4, 1)]",1021
"[(-1, 1), (-1, 0), (0, -1)]",s757,"[(-1, 1), (-1, 0), (0, -1)]","(1, -28)","[(-2, 3), (-1, 2), (-1, 3)]",1022
"[(2, -3), (-4, -1), (-3, -2), (1, -1), (-1, -4), (-2, -3), (-1, -3), (-5, -1), (-2, -1), (-4, -3), (1, -3), (1, -2), (-3, -1), (-1, 0)]",s758,"[(-1, 0)]","(16, -5)","[(3, -1), (-5, 1), (2, -1), (3, -2), (-4, 1)]",1023
"[(-3, -4), (-1, -1), (-1, -3), (-1, -4), (-2, -3), (0, -1), (1, 0)]",s759,"[(-1, -1), (0, -1), (1, 0)]","(67, 23)","[(-3, -2), (3, 1), (-2, -1), (-4, -3), (4, 1)]",1024
"[(-2, 1), (-1, 0), (-3, 2), (0, -1)]",s760,"[(-1, 0), (0, -1)]","(33, -56)","[(-2, 3), (1, -2)]",1025
"[(1, 0)]",s761,"[(1, 0)]","(2, 5)","[(5, -1), (3, -1), (3, 1), (1, -1), (6, 1), (2, -1), (3, -2), (1, -2), (4, 1), (2, 3), (-1, -3), (4, 3), (5, 1), (1, -3), (5, 2), (4, -1)]",1026
"[(0, -1), (2, -3), (-3, -4), (2, 1), (3, 1), (3, -1), (-1, -4), (-2, -3), (3, -2), (-1, -1), (1, -3), (1, 0), (4, 1), (4, -1), (-1, -3)]",s762,"[(0, -1), (-1, -1), (1, 0)]","(73, 52)","[(-4, -3), (3, 2)]",1027
"[(0, -1), (2, -3), (-1, 0), (-3, -1), (-2, -1), (-2, 1), (-2, -3), (1, -1), (-3, 1), (-1, -3), (-4, 1), (1, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (3, -4)]",s763,"[(0, -1), (-1, 0), (1, -1)]","(5, -4)","[(-3, 2), (-4, 3)]",1028
"[(3, -2), (2, -3), (2, -1), (-1, -3), (-1, -4), (-2, -3), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (0, -1), (1, -2), (4, -1)]",s764,"[(1, 0), (0, -1)]","(4, 3)","[(3, 1), (4, 1), (3, 2), (2, 1)]",1029
"[(-3, -1), (0, -1), (-1, 0), (-2, -1)]",s765,"[(0, -1), (-1, 0)]","(7, -2)",[],1030
"[(0, -1), (1, 0)]",s766,"[(0, -1), (1, 0)]","(55, 29)","[(-3, -2), (4, 1)]",1031
"[(1, 0), (-1, -1), (-2, -1)]",s767,"[(1, 0), (-1, -1)]","(75, 7)",[],1032
"[(-4, 1), (-1, 0), (-1, -4), (-1, -3), (-3, 1), (-3, 2), (-1, -2), (0, -1)]",s768,"[(-1, 0), (0, -1)]","(7, -43)","[(-2, 3), (-1, 3), (-1, 2), (-1, 4)]",1033
"[(2, -3), (1, -2), (-1, 1), (-1, 0)]",s769,"[(-1, 1), (-1, 0)]","(75, -76)",[],1034
"[(0, -1), (1, 0)]",s770,"[(0, -1), (1, 0)]","(41, 61)",[],1035
"[(-3, -4), (0, -1), (-1, -3), (-1, -4), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, 0)]",s771,"[(0, -1), (1, 0)]","(49, 37)","[(3, 2)]",1036
