L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(0, -1), (-1, 1), (-1, 0), (-1, -4), (-5, 4), (-1, -1), (-2, 1), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (-3, -1), (-5, 3)]",m003,"[(0, -1), (-1, 1), (-1, 0), (-1, -1), (-2, 1)]","(1, -2)","[(-2, 3), (1, -4), (1, -3), (-3, 4)]",1
"[(1, 0)]",m004,"[(1, 0)]","(0, 1)","[(5, -1), (5, -2), (3, 2), (1, 2), (7, 1), (5, 2), (6, 1), (3, -2), (6, -1), (7, -1), (5, 1), (1, -2)]",2
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (1, -1), (-1, -1), (3, -2), (-3, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-1, 0)]",m006,"[(0, -1), (1, -1), (-1, -1), (-1, 0)]","(3, -1)","[(5, -2), (-5, 1), (-4, 1)]",3
"[(-1, 0), (-3, -1), (-1, -1), (-2, -1), (3, -2), (-3, -2), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-4, -1)]",m007,"[(-1, 0), (-1, -1), (-2, -1)]","(3, -1)","[(5, -2), (-5, 1), (-6, 1), (-4, 1)]",4
"[(1, 0)]",m009,"[(1, 0)]","(1, 1)","[(5, -1), (5, -2), (3, 2), (4, 1), (5, 2), (6, 1), (3, -2), (6, -1), (-1, -2), (5, 1), (1, -2), (4, -1)]",5
"[(2, -3), (-4, -1), (-3, -1), (0, -1), (-1, -3), (3, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (-1, 0)]",m010,"[(0, -1), (-1, 0)]","(2, -1)","[(4, -3), (-4, 1), (-5, 1), (5, -3), (-3, 1), (3, -2), (-5, 2)]",6
"[(0, -1), (3, 2), (3, 1), (4, 3), (1, -1), (2, -1), (2, -3), (3, -1), (2, 1), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (1, 1)]",m011,"[(0, -1), (1, -1), (2, 1), (1, 0), (1, 1)]","(9, 13)","[(-1, -3), (-1, -4), (-1, -2), (-2, -3)]",7
"[(-1, 0)]",m015,"[(-1, 0)]","(2, -1)","[(-8, -1), (-5, 1), (-7, -1), (-6, 1), (-3, -2), (3, -2), (-3, 1), (-6, -1), (-4, 1), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-3, -1), (-4, -1)]",8
"[(5, -1), (4, -3), (2, -3), (-4, -1), (-3, -2), (-1, -1), (3, -2), (-3, -1), (-1, -3), (3, -1), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -1), (4, -1), (0, -1)]",m016,"[(-1, -1), (1, 0), (1, -1), (0, -1)]","(18, 1)",[],9
"[(4, -3), (5, -1), (2, -3), (1, -1), (-1, -1), (3, -2), (-2, -3), (3, -1), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (0, -1)]",m017,"[(1, -1), (-1, -1), (1, 0), (0, -1)]","(2, 1)","[(-3, -2), (4, 1)]",10
"[(0, -1), (-3, -4), (-1, -1), (2, -3), (3, -2), (-1, -4), (-2, -3), (3, -1), (1, -1), (1, -3), (1, 0), (4, -1), (-1, -3)]",m019,"[(0, -1), (-1, -1), (1, -1), (1, 0)]","(17, 6)","[(-3, -2), (3, 1), (-2, -1), (-4, -3), (4, 1)]",11
"[(5, -1), (1, -3), (-1, -1), (3, -2), (-2, -3), (-1, -3), (1, -2), (-1, -2), (0, -1), (1, 0)]",m022,"[(-1, -1), (0, -1), (1, 0)]","(2, 1)","[(-3, -2), (5, 2), (3, 1), (-4, -3), (5, 1), (4, 1)]",12
"[(-1, 0)]",m023,"[(-1, 0)]","(1, -1)","[(-5, 1), (-6, 1), (-3, 1), (-6, -1), (-4, 1), (-5, -1), (-1, -2), (-3, 2), (-5, 2), (1, -2)]",13
"[(0, -1), (2, -3), (-4, -1), (-1, -4), (-3, -2), (1, -1), (-1, -1), (3, -2), (-2, -3), (-2, -1), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m026,"[(0, -1), (1, -1), (-1, -1), (-1, 0)]","(19, -8)","[(-5, 1), (-3, 1), (-4, 1), (-5, 2)]",14
"[(3, 2), (4, 1), (3, 1), (1, 1), (4, 3), (0, -1), (1, 0), (1, -1), (4, -1)]",m027,"[(1, 1), (0, -1), (1, 0), (1, -1)]","(13, 16)","[(-1, -3), (-1, -4), (-2, -3), (-1, -2)]",15
"[(5, -1), (1, -1), (2, -1), (3, -2), (3, -1), (1, 0), (1, -2), (4, -1)]",m029,"[(1, -1), (1, 0)]","(3, 1)",[],16
"[(-5, -1), (-4, -1), (-3, -1), (-1, -1), (-1, 0), (-2, -1), (-1, -3), (-3, -2), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (-5, -3)]",m030,"[(-1, -1), (-1, 0), (-2, -1)]","(2, -1)",[],17
"[(1, 0)]",m032,"[(1, 0)]","(2, 1)","[(5, -1), (7, 1), (5, 2), (6, 1), (3, 1), (6, -1), (5, 1), (4, 1), (4, -1)]",18
"[(2, -3), (-1, 0), (1, -1), (-1, -2), (-1, -3), (-2, -3), (0, -1), (1, -3), (1, -2)]",m033,"[(-1, 0), (1, -1), (0, -1)]","(2, -1)","[(3, -2)]",19
"[(5, -1), (5, -2), (2, -3), (2, -1), (3, -2), (1, -1), (-1, -3), (3, -1), (1, -2), (-1, -2), (1, -3), (1, 0), (4, -1)]",m034,"[(2, -1), (1, -1), (1, 0)]","(9, 4)","[(-3, -2), (4, 1), (3, 1), (5, 1), (5, 2)]",20
"[(5, -1), (5, -2), (3, -2), (6, -1), (1, 0), (4, -1)]",m035,"[(1, 0)]","(2, 1)",[],21
"[(5, -2), (5, -1), (2, -3), (-3, -2), (1, -1), (3, -1), (4, -3), (-3, -1), (3, -2), (-1, -3), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",m036,"[(1, -1), (1, 0)]","(6, 1)","[(-4, -1), (-5, -1)]",22
"[(-1, 0), (-3, -2), (-1, -1), (-1, -3), (-4, -3), (-2, -3), (-5, -2), (-1, -2)]",m037,"[(-1, 0), (-1, -1)]","(2, -1)",[],23
"[(1, 0)]",m038,"[(1, 0)]","(2, 3)","[(5, -1), (5, -2), (3, 2), (4, 1), (3, 1), (3, -2), (6, -1), (-1, -2), (5, 1), (1, -2), (4, -1)]",24
"[(1, 0)]",m039,"[(1, 0)]","(2, 1)","[(-3, -2), (4, 1), (6, 1), (5, 1), (5, 2)]",25
"[(2, -3), (-1, 0), (1, -1), (1, -3), (1, -2)]",m040,"[(-1, 0), (1, -1)]","(2, -1)","[(4, -3), (3, -2), (-5, 2)]",26
"[(2, -1), (3, -1), (3, -2), (0, -1), (1, -1), (4, -1)]",m043,"[(0, -1), (1, -1)]","(1, 0)",[],27
"[(2, -3), (-1, 0), (0, -1), (1, -1)]",m044,"[(-1, 0), (0, -1), (1, -1)]","(24, -7)","[(2, -1), (3, -2)]",28
"[(-1, 0)]",m045,"[(-1, 0)]","(2, -1)","[(-3, -1), (-6, -1), (-4, -1), (-5, -1)]",29
"[(2, -3), (1, -1), (3, -2), (0, -1), (1, -3), (1, 0), (1, -2)]",m046,"[(1, -1), (0, -1), (1, 0)]","(2, 1)",[],30
"[(-1, -1), (-1, 0), (0, -1)]",m047,"[(-1, -1), (-1, 0), (0, -1)]","(23, -11)","[(-3, 1), (-4, 1)]",31
"[(0, -1), (3, 2), (1, 0), (1, 1)]",m049,"[(0, -1), (1, 0), (1, 1)]","(17, 19)",[],32
"[(1, -1), (1, 0), (0, -1)]",m052,"[(1, -1), (1, 0), (0, -1)]","(26, 7)","[(-3, -1), (4, 1)]",33
"[(-1, 0)]",m053,"[(-1, 0)]","(2, -1)","[(-4, -1)]",34
"[(1, -3), (1, 0), (1, -2), (1, -1), (0, -1)]",m054,"[(1, 0), (1, -1), (0, -1)]","(2, 1)",[],35
"[(0, -1), (-1, 1), (-1, 0)]",m055,"[(0, -1), (-1, 1), (-1, 0)]","(14, -23)",[],36
"[(1, -1), (1, -2), (-1, 0), (0, -1)]",m058,"[(1, -1), (-1, 0), (0, -1)]","(2, -1)",[],37
"[(1, 0)]",m059,"[(1, 0)]","(2, 1)","[(5, 1), (3, 1), (4, 1)]",38
"[(0, -1), (-1, -1), (-1, 0), (-2, -1)]",m060,"[(0, -1), (-1, -1), (-1, 0)]","(29, -3)",[],39
"[(-3, -2), (-1, 0), (-2, -1)]",m061,"[(-1, 0), (-2, -1)]","(2, -1)",[],40
"[(1, 0), (2, -1), (3, -1)]",m062,"[(1, 0), (2, -1)]","(2, 1)",[],41
"[(0, -1), (1, -1), (-1, 0)]",m064,"[(0, -1), (1, -1), (-1, 0)]","(27, -11)",[],42
"[(1, 0), (1, -1)]",m066,"[(1, 0), (1, -1)]","(2, 1)",[],43
"[(-3, -1), (-4, -1), (-1, 0)]",m067,"[(-1, 0)]","(2, -1)",[],44
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (-3, -4), (-1, -3), (-1, -4), (-1, -1), (-4, -3), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m069,"[(0, -1), (-1, -1), (-1, 0)]","(17, -12)","[(-3, 1), (-3, 2), (-4, 1)]",45
"[(0, -1), (-3, -4), (-4, -1), (-3, -1), (1, -2), (2, -1), (2, -3), (-1, -4), (-1, -3), (3, -2), (-1, -1), (-4, -3), (1, -3), (-3, -2), (-1, 0)]",m070,"[(0, -1), (-1, -1), (-1, 0)]","(23, -4)","[(3, -1), (4, -1)]",46
"[(0, -1), (2, -1), (1, -1), (-1, 0)]",m071,"[(0, -1), (1, -1), (-1, 0)]","(32, -1)",[],47
"[(0, -1), (1, 0), (-1, -1)]",m072,"[(0, -1), (1, 0), (-1, -1)]","(31, 8)",[],48
"[(0, -1), (1, -1), (-1, 0)]",m073,"[(0, -1), (1, -1), (-1, 0)]","(2, -1)",[],49
"[(1, 0)]",m074,"[(1, 0)]","(2, 1)",[],50
"[(0, -1), (-1, 0), (-1, -1)]",m076,"[(0, -1), (-1, 0), (-1, -1)]","(2, -1)",[],51
"[(1, 0)]",m077,"[(1, 0)]","(2, 1)",[],52
"[(2, -3), (-4, -1), (-3, -1), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (1, -3), (-3, -2), (-5, -2), (-1, 0)]",m078,"[(-1, 0)]","(9, -5)","[(-5, 1), (3, -2), (-3, 1), (-4, 1), (-5, 2)]",53
"[(0, -1), (1, 0), (-1, -1)]",m079,"[(0, -1), (1, 0), (-1, -1)]","(2, 1)",[],54
"[(-1, 0)]",m080,"[(-1, 0)]","(2, -1)",[],55
"[(3, -1), (-1, -1), (2, -3), (-1, -3), (3, -2), (1, -2), (-1, -2), (1, -3), (1, 0), (0, -1), (4, -1), (-2, -3)]",m081,"[(-1, -1), (1, 0), (0, -1)]","(16, 11)","[(3, 2), (-4, -3), (3, 1), (2, 1), (4, 1)]",56
"[(5, -1), (3, -2), (2, -3), (-1, 0), (-3, -2), (-1, -1), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (1, -3), (0, -1), (1, -2), (4, -1), (-4, -1)]",m082,"[(-1, 0), (-1, -1), (0, -1)]","(27, -1)",[],57
"[(0, -1), (-1, 0), (-1, -1)]",m083,"[(0, -1), (-1, 0), (-1, -1)]","(34, -13)",[],58
"[(1, 0)]",m084,"[(1, 0)]","(2, 1)",[],59
"[(-1, 0)]",m085,"[(-1, 0)]","(2, -1)",[],60
"[(0, -1), (1, 0), (1, 1)]",m087,"[(0, -1), (1, 0), (1, 1)]","(22, 29)",[],61
"[(-1, 0), (-1, -1)]",m089,"[(-1, 0), (-1, -1)]","(2, -1)",[],62
"[(1, 0), (3, -1)]",m090,"[(1, 0)]","(2, 1)",[],63
"[(0, -1), (1, 0)]",m093,"[(0, -1), (1, 0)]","(2, 1)",[],64
"[(-1, 0)]",m094,"[(-1, 0)]","(2, -1)",[],65
"[(0, -1), (1, 0), (1, -1)]",m095,"[(0, -1), (1, 0), (1, -1)]","(37, 9)",[],66
"[(0, -1), (1, 0), (-1, -1)]",m096,"[(0, -1), (1, 0), (-1, -1)]","(33, 19)",[],67
"[(0, -1), (-1, 0), (-1, -1)]",m098,"[(0, -1), (-1, 0), (-1, -1)]","(8, -1)",[],68
"[(0, -1), (1, -1), (-1, 0)]",m099,"[(0, -1), (1, -1), (-1, 0)]","(37, -16)",[],69
"[(5, -1), (0, -1), (2, -3), (-5, -1), (-1, 0), (-3, -2), (-1, -1), (-1, -3), (-2, -3), (-5, -2), (-1, -2), (1, -3), (1, -2), (-4, -1)]",m100,"[(0, -1), (-1, 0), (-1, -1)]","(27, -2)",[],70
"[(0, -1), (-1, 0), (-1, -1)]",m102,"[(0, -1), (-1, 0), (-1, -1)]","(41, -12)",[],71
"[(0, -1), (1, 0), (1, -1)]",m103,"[(0, -1), (1, 0), (1, -1)]","(43, 1)",[],72
"[(0, -1), (1, 0), (1, -1)]",m104,"[(0, -1), (1, 0), (1, -1)]","(2, 1)",[],73
"[(-1, 0)]",m105,"[(-1, 0)]","(2, -1)",[],74
"[(0, -1), (1, 0), (1, 1)]",m106,"[(0, -1), (1, 0), (1, 1)]","(23, 36)",[],75
"[(0, -1), (1, 0), (-1, -1)]",m108,"[(0, -1), (1, 0), (-1, -1)]","(41, 13)",[],76
"[(0, -1), (-1, 0)]",m110,"[(0, -1), (-1, 0)]","(2, -1)",[],77
"[(1, 0)]",m111,"[(1, 0)]","(2, 1)",[],78
"[(0, -1), (1, 0), (1, -1)]",m112,"[(0, -1), (1, 0), (1, -1)]","(47, 4)",[],79
"[(0, -1), (1, 0), (-1, -1)]",m113,"[(0, -1), (1, 0), (-1, -1)]","(44, 17)",[],80
"[(-1, 0), (-3, -2), (-2, -3), (-3, -1), (-5, -2), (-1, -1), (-5, -1), (-4, -1)]",m115,"[(-1, 0), (-1, -1)]","(18, -5)","[(5, -2), (-5, 1), (-4, 1), (3, -1)]",81
"[(-1, 1), (-5, 1), (-4, -1), (-3, -2), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (0, -1), (-5, 2), (-3, -1), (-5, 3), (-3, 2), (-1, 0)]",m116,"[(-1, 1), (0, -1), (-1, 0)]","(8, -17)","[(-2, 3), (1, -3), (-1, 2)]",82
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (-1, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m117,"[(0, -1), (-1, -1), (-1, 0)]","(16, -7)","[(4, -3), (-5, 1), (3, -2), (-3, 1), (-4, 1), (-5, 2)]",83
"[(5, -2), (-1, 0), (-3, -1), (-2, -3), (-3, -2), (3, -1), (-2, -1), (0, -1), (1, -1), (4, -1), (-4, -1)]",m118,"[(-1, 0), (0, -1), (1, -1)]","(31, -1)",[],84
"[(5, -2), (-2, -3), (3, -1), (0, -1), (1, 0), (1, -1), (4, -1)]",m119,"[(0, -1), (1, 0), (1, -1)]","(25, 9)","[(-3, -2), (4, 1), (3, 1), (-2, -1)]",85
"[(-1, 0)]",m120,"[(-1, 0)]","(8, -5)","[(2, -3), (-5, 1), (-4, -1), (-6, 1), (-3, -2), (-1, -3), (-3, 1), (-4, 1), (3, -2), (-5, -1), (-1, -2), (1, -3), (-5, 2), (1, -2), (-3, -1)]",86
"[(4, -3), (1, -1), (1, 0), (1, -2), (3, -2)]",m121,"[(1, -1), (1, 0)]","(27, 4)",[],87
"[(-1, 0), (2, -1), (3, -2), (-1, -1), (0, -1), (1, -2)]",m122,"[(-1, 0), (-1, -1), (0, -1)]","(4, -1)","[(3, -1)]",88
"[(-1, 0), (-1, -1), (0, -1), (1, -2)]",m123,"[(-1, 0), (-1, -1), (0, -1)]","(20, -17)","[(-4, 1), (-2, 1), (-3, 1), (-3, 2)]",89
"[(0, -1), (-4, -1), (-1, -4), (-3, -1), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-2, -1), (-3, -2), (-1, 0)]",m130,"[(0, -1), (-1, 0)]","(1, -1)","[(2, -3), (-3, 2), (1, -4), (1, -3), (1, -2)]",90
"[(-4, -1), (-3, -2), (-2, -1), (-2, -3), (-1, -4), (-1, -3), (-1, -2), (-3, -1)]",m135,[],"(1, -1)","[(2, -3), (-3, 1), (-2, 1), (-4, 1), (1, -4), (1, -3), (1, -2), (-3, 2)]",91
[],m136,[],"(0, 1)","[(5, -1), (1, 2), (3, 2), (1, 3), (4, 1), (6, 1), (3, 1), (5, -2), (2, -3), (3, -1), (6, -1), (2, 3), (3, -2), (1, -2), (1, -3), (5, 1), (5, 2), (4, -1)]",92
[],m137,[],"(1, 0)","[(5, -2), (5, -1), (-4, -1), (-3, -1), (-2, -1), (3, -2), (6, -1), (-3, -2), (-6, -1), (3, -1), (-5, -1), (-1, -2), (1, -3), (1, -2), (4, -1)]",93
"[(3, 2), (1, -2), (3, 1), (2, -3), (3, -2), (2, 3), (3, -1), (1, -4), (0, -1), (1, -3), (1, 0), (4, 1), (4, -1), (2, 1)]",m139,"[(0, -1), (1, 0)]","(1, 2)","[(-1, -4), (-1, -3)]",94
"[(-1, 0)]",m140,"[(-1, 0)]","(1, -1)","[(2, -3), (-5, 1), (-3, -1), (-4, -1), (-6, 1), (-3, -2), (-3, 2), (-1, -3), (-3, 1), (-6, -1), (-4, 1), (-2, -3), (-5, -1), (-1, -2), (1, -3), (-5, 2), (1, -2), (-5, -2)]",95
"[(-1, 1), (-3, -1), (-4, -1), (-4, 3), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (0, -1), (-5, 2), (-3, -2), (-5, 3), (-3, 2), (-1, 0)]",m141,"[(-1, 1), (0, -1), (-1, 0)]","(2, -11)","[(-1, 3), (-2, 3), (-3, 4), (-1, 2), (-1, 4)]",96
"[(5, -1), (1, -3), (2, -3), (-1, -1), (3, -2), (-1, -3), (3, -1), (-1, -2), (1, 0), (0, -1), (4, -1), (-2, -3)]",m142,"[(-1, -1), (1, 0), (0, -1)]","(20, 7)","[(-3, -2), (3, 1), (-2, -1), (5, 1), (4, 1)]",97
"[(-1, 0), (-1, -1)]",m143,"[(-1, 0), (-1, -1)]","(27, -5)",[],98
"[(1, -1), (1, 0), (1, -2), (0, -1)]",m144,"[(1, -1), (1, 0), (0, -1)]","(36, 1)",[],99
"[(0, -1), (2, -3), (-1, -1), (-1, -2), (3, -1), (-1, -4), (-1, -3), (3, -2), (1, -2), (1, -3), (1, 0), (4, -1), (-2, -3)]",m145,"[(0, -1), (-1, -1), (1, 0)]","(23, 11)","[(-3, -2), (3, 1), (-2, -1), (4, 1)]",100
"[(5, -1), (3, -1), (2, -3), (-5, -2), (-4, -1), (-3, -2), (2, -1), (3, -2), (-3, -1), (-2, -3), (-1, -3), (-5, -1), (0, -1), (1, -3), (1, 0), (1, -1), (4, -1)]",m146,"[(0, -1), (1, 0), (1, -1)]","(10, 1)",[],101
"[(4, -3), (0, -1), (2, -3), (-4, -1), (-3, -1), (2, -1), (-2, -1), (3, -2), (-3, -2), (-2, -3), (3, -4), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -1), (4, -1), (-1, -3)]",m147,"[(0, -1), (1, 0), (1, -1)]","(13, 1)",[],102
"[(-1, 0)]",m148,"[(-1, 0)]","(2, -1)","[(-5, 1), (-4, -1), (-6, 1), (-3, -1), (-2, -1), (-1, -2), (3, -2), (-3, 1), (-6, -1), (-4, 1), (-5, -1), (-1, -1), (-5, 2), (1, -2), (-3, -2)]",103
"[(5, -1), (0, -1), (2, -3), (1, -2), (2, -1), (3, -2), (-1, -3), (3, -1), (-1, -2), (1, -3), (4, -1), (-2, -3)]",m149,"[(0, -1)]","(2, 1)","[(3, 1), (4, 1), (-3, -2), (5, 1), (5, 2)]",104
"[(-1, 0), (-1, -1)]",m150,"[(-1, 0), (-1, -1)]","(12, -1)",[],105
"[(4, -3), (0, -1), (2, -3), (-4, -1), (-3, -1), (-1, -2), (-1, -1), (-1, -3), (-3, -2), (-2, -3), (-2, -1), (1, -3), (1, -2), (-1, 0)]",m151,"[(0, -1), (-1, -1), (-1, 0)]","(26, -11)","[(-5, 1), (-5, 2)]",106
"[(-4, -1), (-1, -4), (-3, -2), (-1, -1), (-2, 1), (-1, -3), (-3, 1), (-4, 1), (-2, -3), (-1, -2), (-4, -3), (0, -1), (-3, -1), (-3, 2), (-1, 0)]",m154,"[(-1, -1), (0, -1), (-1, 0)]","(13, -19)","[(1, -3), (2, -3), (1, -4)]",107
"[(5, -1), (0, -1), (-1, -2), (2, -3), (-2, -3), (-1, -3), (1, -3), (1, 0), (1, -2)]",m155,"[(0, -1), (1, 0)]","(19, 13)","[(3, 2), (4, 1), (-4, -3), (3, 1), (2, 1), (5, 1)]",108
"[(4, -3), (3, -2), (2, -3), (-1, 0), (-3, -2), (0, -1), (-1, -3), (-3, -1), (-2, -3), (-2, -1), (1, -3), (1, -2), (-4, -1)]",m157,"[(-1, 0), (0, -1)]","(31, -13)",[],109
"[(3, -2), (2, -3), (1, -3), (1, -2), (-1, -2), (-1, -1), (3, -1), (-1, -4), (-1, -3), (-2, -3), (0, -1), (1, 0), (4, -1)]",m159,"[(-1, -1), (0, -1), (1, 0)]","(4, 1)","[(-3, -2), (-2, -1), (-3, -1)]",110
"[(4, -3), (5, -2), (2, -3), (1, -1), (3, -2), (4, -1), (3, -1), (3, -4), (1, -4), (1, -3), (1, 0), (1, -2), (5, -3)]",m160,"[(1, -1), (1, 0)]","(3, 1)","[(-2, -1), (-1, -2), (-1, -3), (-1, -1)]",111
"[(0, -1), (-1, -1), (2, -3), (-1, -3), (-1, -4), (-2, -3), (-1, -2), (1, -3), (1, 0), (4, -1)]",m161,"[(0, -1), (-1, -1), (1, 0)]","(5, 4)","[(3, 2), (3, 1), (2, 1), (4, 1)]",112
"[(5, -1), (3, -2), (2, -3), (2, -1), (-1, -3), (3, -1), (-2, -3), (1, -3), (1, 0), (1, -2), (4, -1)]",m162,"[(1, 0)]","(16, 7)","[(-4, -3), (6, 1), (5, 1)]",113
"[(0, -1), (1, -1), (-1, 0)]",m163,"[(0, -1), (1, -1), (-1, 0)]","(44, -3)",[],114
"[(0, -1), (1, 0), (1, -1)]",m164,"[(0, -1), (1, 0), (1, -1)]","(36, 11)",[],115
"[(0, -1), (-1, 0), (-1, -1)]",m165,"[(0, -1), (-1, 0), (-1, -1)]","(41, -5)",[],116
"[(0, -1), (-1, 0), (-1, -1)]",m166,"[(0, -1), (-1, 0), (-1, -1)]","(31, -19)",[],117
"[(0, -1), (-1, 0), (-1, -1)]",m167,"[(0, -1), (-1, 0), (-1, -1)]","(45, -2)",[],118
"[(3, -1), (2, -3), (-1, -4), (-1, -2), (2, -1), (-3, -4), (3, -2), (-1, -3), (1, -3), (-2, -3), (1, -2), (0, -1), (1, 0), (4, -1)]",m168,"[(0, -1), (1, 0)]","(7, 2)","[(-3, -2), (-3, -1), (-2, -1), (-4, -3), (4, 1)]",119
"[(1, 0), (1, -1)]",m169,"[(1, 0), (1, -1)]","(15, 1)",[],120
"[(-1, 1), (-4, -1), (-5, 2), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-1, -2), (0, -1), (-3, -2), (-3, -1), (-3, 2), (-1, 0)]",m170,"[(-1, 1), (0, -1), (-1, 0)]","(3, -22)","[(-1, 3), (-2, 3), (-1, 2), (-1, 4), (-3, 4)]",121
"[(2, -3), (-1, 0), (1, -1), (0, -1), (-1, -3), (-2, -3), (-1, -2), (1, -3), (1, -2)]",m171,"[(-1, 0), (1, -1), (0, -1)]","(23, -16)","[(-3, 2)]",122
"[(0, -1), (-1, -1)]",m172,"[(0, -1), (-1, -1)]","(1, 0)",[],123
"[(0, -1), (-1, 0), (-1, -1)]",m173,"[(0, -1), (-1, 0), (-1, -1)]","(39, -16)",[],124
"[(5, -1), (2, -1), (3, -1), (3, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",m175,"[(1, 0)]","(11, 5)","[(6, 1), (5, 1)]",125
"[(0, -1), (-3, -4), (-4, -1), (-3, 1), (-1, -1), (-3, -2), (-1, -4), (-2, -3), (-4, 1), (-1, -3), (-1, -2), (-4, -3), (-3, -1), (-3, 2), (-1, 0)]",m178,"[(0, -1), (-1, -1), (-1, 0)]","(8, -23)","[(-2, 3), (-1, 2), (1, -4), (1, -3)]",126
"[(-3, -4), (-1, 0), (-1, -4), (-4, -3), (-1, -1), (-2, -3), (-1, -3), (-1, -2), (0, -1), (-3, -2)]",m179,"[(-1, 0), (-1, -1), (0, -1)]","(1, -8)","[(-1, 4), (-1, 3)]",127
"[(-1, 1), (-1, 0), (-3, 1), (-3, -2), (-3, 2), (-4, 3), (-5, 3), (-2, -3), (-4, 1), (-1, -3), (0, -1), (-5, 2), (-3, -1)]",m180,"[(-1, 1), (-1, 0), (0, -1)]","(15, -29)","[(1, -2), (-2, 3), (1, -4), (1, -3), (-3, 4)]",128
"[(-5, 1), (-1, 0), (-3, 2), (-4, 3), (-3, 1), (-4, 1), (0, -1), (-5, 2)]",m181,"[(-1, 0), (0, -1)]","(4, -7)","[(-2, 3)]",129
"[(4, -3), (2, -3), (0, -1), (-1, -3), (-2, -3), (3, -2), (-1, -2), (1, -3), (1, 0), (1, -1)]",m182,"[(0, -1), (1, 0), (1, -1)]","(24, 17)",[],130
"[(0, -1), (1, 0), (4, -1)]",m183,"[(0, -1), (1, 0)]","(20, 11)","[(-3, -2), (5, 2), (3, 1), (-4, -3), (5, 1), (4, 1)]",131
"[(3, -2), (3, 2), (4, 1), (3, 1), (2, -3), (3, -1), (1, 1), (4, 3), (5, 1), (1, -3), (1, 0), (0, -1), (5, 2), (4, -1), (5, 3)]",m184,"[(1, 1), (1, 0), (0, -1)]","(2, 3)","[(-1, -3), (-1, -2)]",132
"[(4, -3), (3, -2), (2, -3), (-4, -1), (-3, -1), (2, -1), (-3, -2), (-1, -3), (3, -4), (-2, -3), (1, -4), (0, -1), (1, -1), (-1, 0)]",m185,"[(0, -1), (1, -1), (-1, 0)]","(31, -5)","[(3, -1), (4, -1)]",133
"[(0, -1), (-1, 0), (-2, 3), (-1, 2), (-2, -3), (-1, -4), (-1, -3), (-1, -2)]",m186,"[(0, -1), (-1, 0)]","(4, -11)","[(1, -4), (1, -3)]",134
"[(-5, -1), (-4, -1), (-1, -4), (-1, -1), (-3, -4), (-3, -2), (-1, -3), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (-3, -1), (-1, 0)]",m188,"[(-1, -1), (-1, 0)]","(4, -7)","[(-2, 1), (-2, 3), (-1, 1), (-3, 1), (-3, 2), (1, -3), (1, -2)]",135
"[(4, -3), (5, -1), (2, -3), (1, -2), (5, -2), (-1, -2), (3, -2), (5, -3), (-1, -3), (3, -1), (-2, -3), (1, -3), (1, 0), (1, -1), (4, -1)]",m189,"[(1, 0), (1, -1)]","(21, 8)","[(4, 1), (-3, -2), (3, 1), (-2, -1)]",136
"[(3, 2), (4, 1), (0, -1), (1, 1), (4, 3), (5, 1), (1, 0), (5, 2), (4, -1), (5, 3)]",m190,"[(0, -1), (1, 1), (1, 0)]","(25, 27)","[(-2, -3), (-1, -4), (-1, -3), (-1, -2)]",137
"[(-1, 1), (-1, 0), (-4, 3), (-3, 2), (0, -1)]",m191,"[(-1, 1), (-1, 0), (0, -1)]","(4, -31)","[(-2, 3), (-1, 2)]",138
"[(-1, 0)]",m192,"[(-1, 0)]","(7, -4)","[(-2, 1), (-5, 1), (-3, 1), (-4, 1), (-5, 2)]",139
"[(2, -3), (1, -2), (-1, -2), (-1, -3), (0, -1), (1, -3), (1, 0), (1, -1)]",m193,"[(0, -1), (1, 0), (1, -1)]","(27, 19)",[],140
