L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(0, -1), (-1, 1), (-1, 0), (-1, -4), (-5, 4), (-1, -1), (-2, 1), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (-3, -1), (-5, 3)]",m003,False,"[(0, -1), (-1, 1), (-1, 0), (-1, -1), (-2, 1)]","(1, -2)","[(-2, 3), (1, -4), (1, -3), (-3, 4)]",1,1
"[(1, 0)]",m004,'K2_1',"[(1, 0)]","(0, 1)","[(5, -1), (5, -2), (3, 2), (1, 2), (7, 1), (5, 2), (6, 1), (3, -2), (6, -1), (7, -1), (5, 1), (1, -2)]",1,2
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (1, -1), (-1, -1), (3, -2), (-3, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-1, 0)]",m006,False,"[(0, -1), (1, -1), (-1, -1), (-1, 0)]","(3, -1)","[(5, -2), (-5, 1), (-4, 1)]",1,3
"[(-1, 0), (-3, -1), (-1, -1), (-2, -1), (3, -2), (-3, -2), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-4, -1)]",m007,False,"[(-1, 0), (-1, -1), (-2, -1)]","(3, -1)","[(5, -2), (-5, 1), (-6, 1), (-4, 1)]",1,4
"[(1, 0)]",m009,False,"[(1, 0)]","(1, 1)","[(5, -1), (5, -2), (3, 2), (4, 1), (5, 2), (6, 1), (3, -2), (6, -1), (-1, -2), (5, 1), (1, -2), (4, -1)]",1,5
"[(2, -3), (-4, -1), (-3, -1), (0, -1), (-1, -3), (3, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (-1, 0)]",m010,False,"[(0, -1), (-1, 0)]","(2, -1)","[(4, -3), (-4, 1), (-5, 1), (5, -3), (-3, 1), (3, -2), (-5, 2)]",1,6
"[(0, -1), (3, 2), (3, 1), (4, 3), (1, -1), (2, -1), (2, -3), (3, -1), (2, 1), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (1, 1)]",m011,False,"[(0, -1), (1, -1), (2, 1), (1, 0), (1, 1)]","(9, 13)","[(-1, -3), (-1, -4), (-1, -2), (-2, -3)]",9,7
"[(-1, 0)]",m015,'K3_2',"[(-1, 0)]","(2, -1)","[(-8, -1), (-5, 1), (-7, -1), (-6, 1), (-3, -2), (3, -2), (-3, 1), (-6, -1), (-4, 1), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-3, -1), (-4, -1)]",1,8
"[(5, -1), (4, -3), (2, -3), (-4, -1), (-3, -2), (-1, -1), (3, -2), (-3, -1), (-1, -3), (3, -1), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -1), (4, -1), (0, -1)]",m016,'K3_1',"[(-1, -1), (1, 0), (1, -1), (0, -1)]","(18, 1)",[],9,9
"[(4, -3), (5, -1), (2, -3), (1, -1), (-1, -1), (3, -2), (-2, -3), (3, -1), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (0, -1)]",m017,False,"[(1, -1), (-1, -1), (1, 0), (0, -1)]","(2, 1)","[(-3, -2), (4, 1)]",1,10
"[(0, -1), (-3, -4), (-1, -1), (2, -3), (3, -2), (-1, -4), (-2, -3), (3, -1), (1, -1), (1, -3), (1, 0), (4, -1), (-1, -3)]",m019,False,"[(0, -1), (-1, -1), (1, -1), (1, 0)]","(17, 6)","[(-3, -2), (3, 1), (-2, -1), (-4, -3), (4, 1)]",11,11
"[(5, -1), (1, -3), (-1, -1), (3, -2), (-2, -3), (-1, -3), (1, -2), (-1, -2), (0, -1), (1, 0)]",m022,False,"[(-1, -1), (0, -1), (1, 0)]","(2, 1)","[(-3, -2), (5, 2), (3, 1), (-4, -3), (5, 1), (4, 1)]",1,12
"[(-1, 0)]",m023,False,"[(-1, 0)]","(1, -1)","[(-5, 1), (-6, 1), (-3, 1), (-6, -1), (-4, 1), (-5, -1), (-1, -2), (-3, 2), (-5, 2), (1, -2)]",1,13
"[(0, -1), (2, -3), (-4, -1), (-1, -4), (-3, -2), (1, -1), (-1, -1), (3, -2), (-2, -3), (-2, -1), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m026,False,"[(0, -1), (1, -1), (-1, -1), (-1, 0)]","(19, -8)","[(-5, 1), (-3, 1), (-4, 1), (-5, 2)]",9,14
"[(3, 2), (4, 1), (3, 1), (1, 1), (4, 3), (0, -1), (1, 0), (1, -1), (4, -1)]",m027,False,"[(1, 1), (0, -1), (1, 0), (1, -1)]","(13, 16)","[(-1, -3), (-1, -4), (-2, -3), (-1, -2)]",13,15
"[(5, -1), (1, -1), (2, -1), (3, -2), (3, -1), (1, 0), (1, -2), (4, -1)]",m029,False,"[(1, -1), (1, 0)]","(3, 1)",[],1,16
"[(-5, -1), (-4, -1), (-3, -1), (-1, -1), (-1, 0), (-2, -1), (-1, -3), (-3, -2), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (-5, -3)]",m030,False,"[(-1, -1), (-1, 0), (-2, -1)]","(2, -1)",[],1,17
"[(1, 0)]",m032,'K4_1',"[(1, 0)]","(2, 1)","[(5, -1), (7, 1), (5, 2), (6, 1), (3, 1), (6, -1), (5, 1), (4, 1), (4, -1)]",1,18
"[(2, -3), (-1, 0), (1, -1), (-1, -2), (-1, -3), (-2, -3), (0, -1), (1, -3), (1, -2)]",m033,False,"[(-1, 0), (1, -1), (0, -1)]","(2, -1)","[(3, -2)]",1,19
"[(5, -1), (5, -2), (2, -3), (2, -1), (3, -2), (1, -1), (-1, -3), (3, -1), (1, -2), (-1, -2), (1, -3), (1, 0), (4, -1)]",m034,False,"[(2, -1), (1, -1), (1, 0)]","(9, 4)","[(-3, -2), (4, 1), (3, 1), (5, 1), (5, 2)]",5,20
"[(5, -1), (5, -2), (3, -2), (6, -1), (1, 0), (4, -1)]",m035,False,"[(1, 0)]","(2, 1)",[],1,21
"[(5, -2), (5, -1), (2, -3), (-3, -2), (1, -1), (3, -1), (4, -3), (-3, -1), (3, -2), (-1, -3), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",m036,False,"[(1, -1), (1, 0)]","(6, 1)","[(-4, -1), (-5, -1)]",3,22
"[(-1, 0), (-3, -2), (-1, -1), (-1, -3), (-4, -3), (-2, -3), (-5, -2), (-1, -2)]",m037,False,"[(-1, 0), (-1, -1)]","(2, -1)",[],1,23
"[(1, 0)]",m038,False,"[(1, 0)]","(2, 3)","[(5, -1), (5, -2), (3, 2), (4, 1), (3, 1), (3, -2), (6, -1), (-1, -2), (5, 1), (1, -2), (4, -1)]",3,24
"[(1, 0)]",m039,False,"[(1, 0)]","(2, 1)","[(-3, -2), (4, 1), (6, 1), (5, 1), (5, 2)]",1,25
"[(2, -3), (-1, 0), (1, -1), (1, -3), (1, -2)]",m040,False,"[(-1, 0), (1, -1)]","(2, -1)","[(4, -3), (3, -2), (-5, 2)]",1,26
"[(2, -1), (3, -1), (3, -2), (0, -1), (1, -1), (4, -1)]",m043,False,"[(0, -1), (1, -1)]","(1, 0)",[],3,27
"[(2, -3), (-1, 0), (0, -1), (1, -1)]",m044,False,"[(-1, 0), (0, -1), (1, -1)]","(24, -7)","[(2, -1), (3, -2)]",17,28
"[(-1, 0)]",m045,False,"[(-1, 0)]","(2, -1)","[(-3, -1), (-6, -1), (-4, -1), (-5, -1)]",1,29
"[(2, -3), (1, -1), (3, -2), (0, -1), (1, -3), (1, 0), (1, -2)]",m046,False,"[(1, -1), (0, -1), (1, 0)]","(2, 1)",[],1,30
"[(-1, -1), (-1, 0), (0, -1)]",m047,False,"[(-1, -1), (-1, 0), (0, -1)]","(23, -11)","[(-3, 1), (-4, 1)]",13,31
"[(0, -1), (3, 2), (1, 0), (1, 1)]",m049,False,"[(0, -1), (1, 0), (1, 1)]","(17, 19)",[],17,32
"[(1, -1), (1, 0), (0, -1)]",m052,False,"[(1, -1), (1, 0), (0, -1)]","(26, 7)","[(-3, -1), (4, 1)]",13,33
"[(-1, 0)]",m053,'K4_2',"[(-1, 0)]","(2, -1)","[(-4, -1)]",1,34
"[(1, -3), (1, 0), (1, -2), (1, -1), (0, -1)]",m054,False,"[(1, 0), (1, -1), (0, -1)]","(2, 1)",[],1,35
"[(0, -1), (-1, 1), (-1, 0)]",m055,False,"[(0, -1), (-1, 1), (-1, 0)]","(14, -23)",[],19,36
"[(1, -1), (1, -2), (-1, 0), (0, -1)]",m058,False,"[(1, -1), (-1, 0), (0, -1)]","(2, -1)",[],1,37
"[(1, 0)]",m059,False,"[(1, 0)]","(2, 1)","[(5, 1), (3, 1), (4, 1)]",1,38
"[(0, -1), (-1, -1), (-1, 0), (-2, -1)]",m060,False,"[(0, -1), (-1, -1), (-1, 0)]","(29, -3)",[],17,39
"[(-3, -2), (-1, 0), (-2, -1)]",m061,False,"[(-1, 0), (-2, -1)]","(2, -1)",[],1,40
"[(1, 0), (2, -1), (3, -1)]",m062,False,"[(1, 0), (2, -1)]","(2, 1)",[],1,41
"[(0, -1), (1, -1), (-1, 0)]",m064,False,"[(0, -1), (1, -1), (-1, 0)]","(27, -11)",[],21,42
"[(1, 0), (1, -1)]",m066,False,"[(1, 0), (1, -1)]","(2, 1)",[],1,43
"[(-3, -1), (-4, -1), (-1, 0)]",m067,False,"[(-1, 0)]","(2, -1)",[],1,44
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (-3, -4), (-1, -3), (-1, -4), (-1, -1), (-4, -3), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m069,False,"[(0, -1), (-1, -1), (-1, 0)]","(17, -12)","[(-3, 1), (-3, 2), (-4, 1)]",13,45
"[(0, -1), (-3, -4), (-4, -1), (-3, -1), (1, -2), (2, -1), (2, -3), (-1, -4), (-1, -3), (3, -2), (-1, -1), (-4, -3), (1, -3), (-3, -2), (-1, 0)]",m070,False,"[(0, -1), (-1, -1), (-1, 0)]","(23, -4)","[(3, -1), (4, -1)]",15,46
"[(0, -1), (2, -1), (1, -1), (-1, 0)]",m071,'K5_1',"[(0, -1), (1, -1), (-1, 0)]","(32, -1)",[],21,47
"[(0, -1), (1, 0), (-1, -1)]",m072,False,"[(0, -1), (1, 0), (-1, -1)]","(31, 8)",[],23,48
"[(0, -1), (1, -1), (-1, 0)]",m073,False,"[(0, -1), (1, -1), (-1, 0)]","(2, -1)",[],1,49
"[(1, 0)]",m074,'K5_2',"[(1, 0)]","(2, 1)",[],1,50
"[(0, -1), (-1, 0), (-1, -1)]",m076,False,"[(0, -1), (-1, 0), (-1, -1)]","(2, -1)",[],1,51
"[(1, 0)]",m077,False,"[(1, 0)]","(2, 1)",[],1,52
"[(2, -3), (-4, -1), (-3, -1), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (1, -3), (-3, -2), (-5, -2), (-1, 0)]",m078,False,"[(-1, 0)]","(9, -5)","[(-5, 1), (3, -2), (-3, 1), (-4, 1), (-5, 2)]",7,53
"[(0, -1), (1, 0), (-1, -1)]",m079,False,"[(0, -1), (1, 0), (-1, -1)]","(2, 1)",[],1,54
"[(-1, 0)]",m080,False,"[(-1, 0)]","(2, -1)",[],1,55
"[(3, -1), (-1, -1), (2, -3), (-1, -3), (3, -2), (1, -2), (-1, -2), (1, -3), (1, 0), (0, -1), (4, -1), (-2, -3)]",m081,False,"[(-1, -1), (1, 0), (0, -1)]","(16, 11)","[(3, 2), (-4, -3), (3, 1), (2, 1), (4, 1)]",11,56
"[(5, -1), (3, -2), (2, -3), (-1, 0), (-3, -2), (-1, -1), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (1, -3), (0, -1), (1, -2), (4, -1), (-4, -1)]",m082,'K4_3',"[(-1, 0), (-1, -1), (0, -1)]","(27, -1)",[],15,57
"[(0, -1), (-1, 0), (-1, -1)]",m083,False,"[(0, -1), (-1, 0), (-1, -1)]","(34, -13)",[],19,58
"[(1, 0)]",m084,False,"[(1, 0)]","(2, 1)",[],1,59
"[(-1, 0)]",m085,False,"[(-1, 0)]","(2, -1)",[],1,60
"[(0, -1), (1, 0), (1, 1)]",m087,False,"[(0, -1), (1, 0), (1, 1)]","(22, 29)",[],27,61
"[(-1, 0), (-1, -1)]",m089,False,"[(-1, 0), (-1, -1)]","(2, -1)",[],1,62
"[(1, 0), (3, -1)]",m090,False,"[(1, 0)]","(2, 1)",[],1,63
"[(0, -1), (1, 0)]",m093,False,"[(0, -1), (1, 0)]","(2, 1)",[],1,64
"[(-1, 0)]",m094,'K5_3',"[(-1, 0)]","(2, -1)",[],1,65
"[(0, -1), (1, 0), (1, -1)]",m095,False,"[(0, -1), (1, 0), (1, -1)]","(37, 9)",[],21,66
"[(0, -1), (1, 0), (-1, -1)]",m096,False,"[(0, -1), (1, 0), (-1, -1)]","(33, 19)",[],29,67
"[(0, -1), (-1, 0), (-1, -1)]",m098,False,"[(0, -1), (-1, 0), (-1, -1)]","(8, -1)",[],5,68
"[(0, -1), (1, -1), (-1, 0)]",m099,False,"[(0, -1), (1, -1), (-1, 0)]","(37, -16)",[],31,69
"[(5, -1), (0, -1), (2, -3), (-5, -1), (-1, 0), (-3, -2), (-1, -1), (-1, -3), (-2, -3), (-5, -2), (-1, -2), (1, -3), (1, -2), (-4, -1)]",m100,False,"[(0, -1), (-1, 0), (-1, -1)]","(27, -2)",[],15,70
"[(0, -1), (-1, 0), (-1, -1)]",m102,False,"[(0, -1), (-1, 0), (-1, -1)]","(41, -12)",[],23,71
"[(0, -1), (1, 0), (1, -1)]",m103,'K5_4',"[(0, -1), (1, 0), (1, -1)]","(43, 1)",[],29,72
"[(0, -1), (1, 0), (1, -1)]",m104,False,"[(0, -1), (1, 0), (1, -1)]","(2, 1)",[],1,73
"[(-1, 0)]",m105,False,"[(-1, 0)]","(2, -1)",[],1,74
"[(0, -1), (1, 0), (1, 1)]",m106,False,"[(0, -1), (1, 0), (1, 1)]","(23, 36)",[],33,75
"[(0, -1), (1, 0), (-1, -1)]",m108,False,"[(0, -1), (1, 0), (-1, -1)]","(41, 13)",[],33,76
"[(0, -1), (-1, 0)]",m110,False,"[(0, -1), (-1, 0)]","(2, -1)",[],1,77
"[(1, 0)]",m111,False,"[(1, 0)]","(2, 1)",[],1,78
"[(0, -1), (1, 0), (1, -1)]",m112,False,"[(0, -1), (1, 0), (1, -1)]","(47, 4)",[],31,79
"[(0, -1), (1, 0), (-1, -1)]",m113,False,"[(0, -1), (1, 0), (-1, -1)]","(44, 17)",[],37,80
"[(-1, 0), (-3, -2), (-2, -3), (-3, -1), (-5, -2), (-1, -1), (-5, -1), (-4, -1)]",m115,False,"[(-1, 0), (-1, -1)]","(18, -5)","[(5, -2), (-5, 1), (-4, 1), (3, -1)]",9,81
"[(-1, 1), (-5, 1), (-4, -1), (-3, -2), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (0, -1), (-5, 2), (-3, -1), (-5, 3), (-3, 2), (-1, 0)]",m116,False,"[(-1, 1), (0, -1), (-1, 0)]","(8, -17)","[(-2, 3), (1, -3), (-1, 2)]",15,82
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (-1, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-3, -1), (-1, 0)]",m117,False,"[(0, -1), (-1, -1), (-1, 0)]","(16, -7)","[(4, -3), (-5, 1), (3, -2), (-3, 1), (-4, 1), (-5, 2)]",9,83
"[(5, -2), (-1, 0), (-3, -1), (-2, -3), (-3, -2), (3, -1), (-2, -1), (0, -1), (1, -1), (4, -1), (-4, -1)]",m118,'K4_4',"[(-1, 0), (0, -1), (1, -1)]","(31, -1)",[],19,84
"[(5, -2), (-2, -3), (3, -1), (0, -1), (1, 0), (1, -1), (4, -1)]",m119,None,"[(0, -1), (1, 0), (1, -1)]","(25, 9)","[(-3, -2), (4, 1), (3, 1), (-2, -1)]",17,85
"[(-1, 0)]",m120,False,"[(-1, 0)]","(8, -5)","[(2, -3), (-5, 1), (-4, -1), (-6, 1), (-3, -2), (-1, -3), (-3, 1), (-4, 1), (3, -2), (-5, -1), (-1, -2), (1, -3), (-5, 2), (1, -2), (-3, -1)]",5,86
"[(4, -3), (1, -1), (1, 0), (1, -2), (3, -2)]",m121,False,"[(1, -1), (1, 0)]","(27, 4)",[],15,87
"[(-1, 0), (2, -1), (3, -2), (-1, -1), (0, -1), (1, -2)]",m122,False,"[(-1, 0), (-1, -1), (0, -1)]","(4, -1)","[(3, -1)]",3,88
"[(-1, 0), (-1, -1), (0, -1), (1, -2)]",m123,False,"[(-1, 0), (-1, -1), (0, -1)]","(20, -17)","[(-4, 1), (-2, 1), (-3, 1), (-3, 2)]",19,89
"[(0, -1), (-4, -1), (-1, -4), (-3, -1), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-2, -1), (-3, -2), (-1, 0)]",m130,False,"[(0, -1), (-1, 0)]","(1, -1)","[(2, -3), (-3, 2), (1, -4), (1, -3), (1, -2)]",2,90
"[(-4, -1), (-3, -2), (-2, -1), (-2, -3), (-1, -4), (-1, -3), (-1, -2), (-3, -1)]",m135,False,[],"(1, -1)","[(2, -3), (-3, 1), (-2, 1), (-4, 1), (1, -4), (1, -3), (1, -2), (-3, 2)]",1,91
[],m136,False,[],"(0, 1)","[(5, -1), (1, 2), (3, 2), (1, 3), (4, 1), (6, 1), (3, 1), (5, -2), (2, -3), (3, -1), (6, -1), (2, 3), (3, -2), (1, -2), (1, -3), (5, 1), (5, 2), (4, -1)]",1,92
[],m137,False,[],"(1, 0)","[(5, -2), (5, -1), (-4, -1), (-3, -1), (-2, -1), (3, -2), (6, -1), (-3, -2), (-6, -1), (3, -1), (-5, -1), (-1, -2), (1, -3), (1, -2), (4, -1)]",1,93
"[(3, 2), (1, -2), (3, 1), (2, -3), (3, -2), (2, 3), (3, -1), (1, -4), (0, -1), (1, -3), (1, 0), (4, 1), (4, -1), (2, 1)]",m139,False,"[(0, -1), (1, 0)]","(1, 2)","[(-1, -4), (-1, -3)]",2,94
"[(-1, 0)]",m140,False,"[(-1, 0)]","(1, -1)","[(2, -3), (-5, 1), (-3, -1), (-4, -1), (-6, 1), (-3, -2), (-3, 2), (-1, -3), (-3, 1), (-6, -1), (-4, 1), (-2, -3), (-5, -1), (-1, -2), (1, -3), (-5, 2), (1, -2), (-5, -2)]",2,95
"[(-1, 1), (-3, -1), (-4, -1), (-4, 3), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (0, -1), (-5, 2), (-3, -2), (-5, 3), (-3, 2), (-1, 0)]",m141,False,"[(-1, 1), (0, -1), (-1, 0)]","(2, -11)","[(-1, 3), (-2, 3), (-3, 4), (-1, 2), (-1, 4)]",9,96
"[(5, -1), (1, -3), (2, -3), (-1, -1), (3, -2), (-1, -3), (3, -1), (-1, -2), (1, 0), (0, -1), (4, -1), (-2, -3)]",m142,False,"[(-1, -1), (1, 0), (0, -1)]","(20, 7)","[(-3, -2), (3, 1), (-2, -1), (5, 1), (4, 1)]",13,97
"[(-1, 0), (-1, -1)]",m143,False,"[(-1, 0), (-1, -1)]","(27, -5)",[],15,98
"[(1, -1), (1, 0), (1, -2), (0, -1)]",m144,'K5_5',"[(1, -1), (1, 0), (0, -1)]","(36, 1)",[],21,99
"[(0, -1), (2, -3), (-1, -1), (-1, -2), (3, -1), (-1, -4), (-1, -3), (3, -2), (1, -2), (1, -3), (1, 0), (4, -1), (-2, -3)]",m145,False,"[(0, -1), (-1, -1), (1, 0)]","(23, 11)","[(-3, -2), (3, 1), (-2, -1), (4, 1)]",19,100
"[(5, -1), (3, -1), (2, -3), (-5, -2), (-4, -1), (-3, -2), (2, -1), (3, -2), (-3, -1), (-2, -3), (-1, -3), (-5, -1), (0, -1), (1, -3), (1, 0), (1, -1), (4, -1)]",m146,False,"[(0, -1), (1, 0), (1, -1)]","(10, 1)",[],5,101
"[(4, -3), (0, -1), (2, -3), (-4, -1), (-3, -1), (2, -1), (-2, -1), (3, -2), (-3, -2), (-2, -3), (3, -4), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -1), (4, -1), (-1, -3)]",m147,False,"[(0, -1), (1, 0), (1, -1)]","(13, 1)",[],7,102
"[(-1, 0)]",m148,False,"[(-1, 0)]","(2, -1)","[(-5, 1), (-4, -1), (-6, 1), (-3, -1), (-2, -1), (-1, -2), (3, -2), (-3, 1), (-6, -1), (-4, 1), (-5, -1), (-1, -1), (-5, 2), (1, -2), (-3, -2)]",1,103
"[(5, -1), (0, -1), (2, -3), (1, -2), (2, -1), (3, -2), (-1, -3), (3, -1), (-1, -2), (1, -3), (4, -1), (-2, -3)]",m149,False,"[(0, -1)]","(2, 1)","[(3, 1), (4, 1), (-3, -2), (5, 1), (5, 2)]",1,104
"[(-1, 0), (-1, -1)]",m150,False,"[(-1, 0), (-1, -1)]","(12, -1)",[],7,105
"[(4, -3), (0, -1), (2, -3), (-4, -1), (-3, -1), (-1, -2), (-1, -1), (-1, -3), (-3, -2), (-2, -3), (-2, -1), (1, -3), (1, -2), (-1, 0)]",m151,False,"[(0, -1), (-1, -1), (-1, 0)]","(26, -11)","[(-5, 1), (-5, 2)]",13,106
"[(-4, -1), (-1, -4), (-3, -2), (-1, -1), (-2, 1), (-1, -3), (-3, 1), (-4, 1), (-2, -3), (-1, -2), (-4, -3), (0, -1), (-3, -1), (-3, 2), (-1, 0)]",m154,False,"[(-1, -1), (0, -1), (-1, 0)]","(13, -19)","[(1, -3), (2, -3), (1, -4)]",15,107
"[(5, -1), (0, -1), (-1, -2), (2, -3), (-2, -3), (-1, -3), (1, -3), (1, 0), (1, -2)]",m155,False,"[(0, -1), (1, 0)]","(19, 13)","[(3, 2), (4, 1), (-4, -3), (3, 1), (2, 1), (5, 1)]",13,108
"[(4, -3), (3, -2), (2, -3), (-1, 0), (-3, -2), (0, -1), (-1, -3), (-3, -1), (-2, -3), (-2, -1), (1, -3), (1, -2), (-4, -1)]",m157,False,"[(-1, 0), (0, -1)]","(31, -13)",[],15,109
"[(3, -2), (2, -3), (1, -3), (1, -2), (-1, -2), (-1, -1), (3, -1), (-1, -4), (-1, -3), (-2, -3), (0, -1), (1, 0), (4, -1)]",m159,False,"[(-1, -1), (0, -1), (1, 0)]","(4, 1)","[(-3, -2), (-2, -1), (-3, -1)]",3,110
"[(4, -3), (5, -2), (2, -3), (1, -1), (3, -2), (4, -1), (3, -1), (3, -4), (1, -4), (1, -3), (1, 0), (1, -2), (5, -3)]",m160,False,"[(1, -1), (1, 0)]","(3, 1)","[(-2, -1), (-1, -2), (-1, -3), (-1, -1)]",3,111
"[(0, -1), (-1, -1), (2, -3), (-1, -3), (-1, -4), (-2, -3), (-1, -2), (1, -3), (1, 0), (4, -1)]",m161,False,"[(0, -1), (-1, -1), (1, 0)]","(5, 4)","[(3, 2), (3, 1), (2, 1), (4, 1)]",8,112
"[(5, -1), (3, -2), (2, -3), (2, -1), (-1, -3), (3, -1), (-2, -3), (1, -3), (1, 0), (1, -2), (4, -1)]",m162,False,"[(1, 0)]","(16, 7)","[(-4, -3), (6, 1), (5, 1)]",9,113
"[(0, -1), (1, -1), (-1, 0)]",m163,False,"[(0, -1), (1, -1), (-1, 0)]","(44, -3)",[],29,114
"[(0, -1), (1, 0), (1, -1)]",m164,False,"[(0, -1), (1, 0), (1, -1)]","(36, 11)",[],27,115
"[(0, -1), (-1, 0), (-1, -1)]",m165,False,"[(0, -1), (-1, 0), (-1, -1)]","(41, -5)",[],31,116
"[(0, -1), (-1, 0), (-1, -1)]",m166,False,"[(0, -1), (-1, 0), (-1, -1)]","(31, -19)",[],27,117
"[(0, -1), (-1, 0), (-1, -1)]",m167,False,"[(0, -1), (-1, 0), (-1, -1)]","(45, -2)",[],27,118
"[(3, -1), (2, -3), (-1, -4), (-1, -2), (2, -1), (-3, -4), (3, -2), (-1, -3), (1, -3), (-2, -3), (1, -2), (0, -1), (1, 0), (4, -1)]",m168,False,"[(0, -1), (1, 0)]","(7, 2)","[(-3, -2), (-3, -1), (-2, -1), (-4, -3), (4, 1)]",5,119
"[(1, 0), (1, -1)]",m169,False,"[(1, 0), (1, -1)]","(15, 1)",[],9,120
"[(-1, 1), (-4, -1), (-5, 2), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-1, -2), (0, -1), (-3, -2), (-3, -1), (-3, 2), (-1, 0)]",m170,False,"[(-1, 1), (0, -1), (-1, 0)]","(3, -22)","[(-1, 3), (-2, 3), (-1, 2), (-1, 4), (-3, 4)]",19,121
"[(2, -3), (-1, 0), (1, -1), (0, -1), (-1, -3), (-2, -3), (-1, -2), (1, -3), (1, -2)]",m171,False,"[(-1, 0), (1, -1), (0, -1)]","(23, -16)","[(-3, 2)]",17,122
"[(0, -1), (-1, -1)]",m172,False,"[(0, -1), (-1, -1)]","(1, 0)",[],5,123
"[(0, -1), (-1, 0), (-1, -1)]",m173,False,"[(0, -1), (-1, 0), (-1, -1)]","(39, -16)",[],31,124
"[(5, -1), (2, -1), (3, -1), (3, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",m175,False,"[(1, 0)]","(11, 5)","[(6, 1), (5, 1)]",7,125
"[(0, -1), (-3, -4), (-4, -1), (-3, 1), (-1, -1), (-3, -2), (-1, -4), (-2, -3), (-4, 1), (-1, -3), (-1, -2), (-4, -3), (-3, -1), (-3, 2), (-1, 0)]",m178,False,"[(0, -1), (-1, -1), (-1, 0)]","(8, -23)","[(-2, 3), (-1, 2), (1, -4), (1, -3)]",17,126
"[(-3, -4), (-1, 0), (-1, -4), (-4, -3), (-1, -1), (-2, -3), (-1, -3), (-1, -2), (0, -1), (-3, -2)]",m179,False,"[(-1, 0), (-1, -1), (0, -1)]","(1, -8)","[(-1, 4), (-1, 3)]",12,127
"[(-1, 1), (-1, 0), (-3, 1), (-3, -2), (-3, 2), (-4, 3), (-5, 3), (-2, -3), (-4, 1), (-1, -3), (0, -1), (-5, 2), (-3, -1)]",m180,False,"[(-1, 1), (-1, 0), (0, -1)]","(15, -29)","[(1, -2), (-2, 3), (1, -4), (1, -3), (-3, 4)]",23,128
"[(-5, 1), (-1, 0), (-3, 2), (-4, 3), (-3, 1), (-4, 1), (0, -1), (-5, 2)]",m181,False,"[(-1, 0), (0, -1)]","(4, -7)","[(-2, 3)]",7,129
"[(4, -3), (2, -3), (0, -1), (-1, -3), (-2, -3), (3, -2), (-1, -2), (1, -3), (1, 0), (1, -1)]",m182,False,"[(0, -1), (1, 0), (1, -1)]","(24, 17)",[],19,130
"[(0, -1), (1, 0), (4, -1)]",m183,False,"[(0, -1), (1, 0)]","(20, 11)","[(-3, -2), (5, 2), (3, 1), (-4, -3), (5, 1), (4, 1)]",15,131
"[(3, -2), (3, 2), (4, 1), (3, 1), (2, -3), (3, -1), (1, 1), (4, 3), (5, 1), (1, -3), (1, 0), (0, -1), (5, 2), (4, -1), (5, 3)]",m184,False,"[(1, 1), (1, 0), (0, -1)]","(2, 3)","[(-1, -3), (-1, -2)]",3,132
"[(4, -3), (3, -2), (2, -3), (-4, -1), (-3, -1), (2, -1), (-3, -2), (-1, -3), (3, -4), (-2, -3), (1, -4), (0, -1), (1, -1), (-1, 0)]",m185,False,"[(0, -1), (1, -1), (-1, 0)]","(31, -5)","[(3, -1), (4, -1)]",21,133
"[(0, -1), (-1, 0), (-2, 3), (-1, 2), (-2, -3), (-1, -4), (-1, -3), (-1, -2)]",m186,False,"[(0, -1), (-1, 0)]","(4, -11)","[(1, -4), (1, -3)]",7,134
