L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(0, -1), (-1, 1), (-1, 0)]",s414,False,"[(0, -1), (-1, 1), (-1, 0)]","(3, -67)",[],61,701
"[(0, -1), (-1, 0), (-1, -1)]",s415,False,"[(0, -1), (-1, 0), (-1, -1)]","(23, -51)",[],53,702
"[(0, -1), (-1, 1), (-1, 0)]",s416,False,"[(0, -1), (-1, 1), (-1, 0)]","(59, -75)",[],65,703
"[(4, -3), (2, -3), (-4, -1), (-3, -2), (2, -1), (5, -2), (-1, -2), (3, -2), (-3, -1), (-1, -3), (3, -1), (-2, -3), (-2, -1), (1, -3), (1, -1), (-1, 0)]",s417,False,"[(1, -1), (-1, 0)]","(34, -5)","[(5, -1), (4, -1)]",19,704
"[(1, 0), (1, -1)]",s418,False,"[(1, 0), (1, -1)]","(3, 5)",[],5,705
"[(0, -1), (-1, 1), (-1, 0)]",s419,False,"[(0, -1), (-1, 1), (-1, 0)]","(15, -71)",[],59,706
"[(5, -1), (4, -3), (2, -3), (2, -1), (3, -2), (-1, -3), (3, -1), (-2, -3), (1, -1), (1, -3), (1, 0), (1, -2), (4, -1)]",s420,False,"[(1, -1), (1, 0)]","(8, 3)","[(3, 1), (-3, -2), (4, 1)]",12,707
"[(0, -1), (1, 0), (1, -1)]",s421,False,"[(0, -1), (1, 0), (1, -1)]","(17, 64)",[],65,708
"[(0, -1), (-1, 1), (-1, 0)]",s422,False,"[(0, -1), (-1, 1), (-1, 0)]","(71, -80)",[],73,709
"[(3, -2), (-3, -4), (-3, -2), (1, -2), (-1, -2), (2, -3), (3, -1), (-1, -4), (-1, -3), (-2, -3), (-1, -1), (-4, -3), (1, -3), (1, 0), (0, -1), (4, -1)]",s423,False,"[(-1, -1), (1, 0), (0, -1)]","(2, 1)","[(5, 1), (5, 2), (4, 1), (-5, -3)]",2,710
"[(-4, -1), (-1, -4), (-4, -3), (-2, -3), (-1, -3), (-5, -1), (0, -1), (1, -3), (1, -2)]",s424,False,"[(0, -1)]","(1, -1)","[(2, -3), (-3, 2), (-2, 1), (-3, 1), (-4, 1)]",2,711
"[(1, 0)]",s425,False,"[(1, 0)]","(27, 53)",[],61,712
[],s426,False,[],"(1, 1)","[(2, -1), (4, -1), (3, -1)]",1,713
"[(-3, -1), (-3, -2), (-2, -1)]",s427,False,[],"(1, -1)",[],1,714
